Unnamed: 0,Video link,Notes,Muscles used,Compound or isolation ,Unnamed: 5,Compound or isolation
Hip Flexion Test,,"The athlete warms up for 10 minutes
The athlete lies on their back with the legs out straight on the ground
The athlete lifts their left knee and, using their hands, pulls the left knee to their chest
The assistant checks to see if the right leg remains flat on the floor - hip flexors are considered tight if the right leg leaves the floor
The athlete lies on their back with the legs out straight on the ground
The athlete lifts their right knee and, using their hands, pulls the right knee to their chest
The assistant checks to see if the left leg remains flat on the floor - hip flexors are considered tight if the left leg leaves the floor",General / Functional Muscles,,,Compound
Hip Flexor Chair Stretch,https://youtu.be/CCOC90Aq1iM,,General / Functional Muscles,,,Compound
Hip Flexor Stretch,https://youtu.be/Nmc_o0y6Q1o,,General / Functional Muscles,,,Compound
Hip Hinge Drill,,,General / Functional Muscles,,,Compound
Hip Hinge Stretch,https://youtu.be/I4YhNBSAO5g,,General / Functional Muscles,,,Compound
Hip Rolls,https://youtu.be/KGFGb0E98sk,,General / Functional Muscles,,,Compound
Hip Rotations,,,General / Functional Muscles,,,Compound
Hip Snaps,,Focus on bringing the hips forward snapping them into place using then glutes.,General / Functional Muscles,,,Compound
Hip Thrusts,https://youtu.be/kkk-4_Odqtk,"Sit on the floor with your upper back against a bench and a loaded barbell over your hips.
Drive through your heels and lift your hips until your body forms a straight line from shoulders to knees.
Lower the hips back down and repeat.",General / Functional Muscles,,,Compound
Hollow Rock,https://youtu.be/wg2U1eHjfBY,,General / Functional Muscles,,,Compound
Hops (Forward & Backwards),,,General / Functional Muscles,,,Compound
Hops Drill - A,,"break contact with the ground as little as possible, perform in place for 10 seconds, move forward for 10 seconds, and then jog for 10 metres.",General / Functional Muscles,,,Compound
Hops Drill - B,,"Skip in place for 10 seconds then move forward for 10 seconds, then jog for 10 m",General / Functional Muscles,,,Compound
Hops Drill - C,,"Cross feet in front and behind for 10 seconds then move forward for 10 seconds, then jog for 10 m",General / Functional Muscles,,,Compound
Hops Drill - D,,"Hop letting feet land forwards, inwards forwards outwards. Hop for 10 seconds move forward for 10 seconds, then jog for 10 metres",General / Functional Muscles,,,Compound
Hops Drill - E,,"Hop while swinging one leg out the side to waste height. When swinging leg back to the ground, swing the other foot out to the side, do this for 10 seconds move forward for 10 seconds, then jog 10 m.",General / Functional Muscles,,,Compound
Hops Drill - F,,"Hot and swing one leg forward. When bring down switch to the other leg and it goes backwards aim for waist height both times standing place 10 seconds moving forward for 10 seconds, jog for 10 m repeat with other leg leading",General / Functional Muscles,,,Compound
Hops Drill - G,,"Hop, twisting to side, middle other side middle. Do the standing for 10 seconds moving for 10 seconds, then jog 10 m.",General / Functional Muscles,,,Compound
Hops Drill - H,,"Hop in place break in contact with the ground as little as possible for 10 seconds. Then hop backwards for 10 seconds, then turn and jog 10 m.",General / Functional Muscles,,,Compound
I Y T Stretch,,,General / Functional Muscles,,,Compound
Ice Skaters,,,General / Functional Muscles,,,Compound
Inchworm to Plank,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Inchworms,,,General / Functional Muscles,,,Compound
Incline Bench Barbell Row,,,"Lats, Rhomboids, Biceps",,,Compound
Incline Dumbbell Flyes,,,General / Functional Muscles,,,Compound
Incline Dumbbell Press,,,General / Functional Muscles,,,Compound
Incline Knee Raises,,,General / Functional Muscles,,,Compound
Incline Push Ups,https://youtu.be/cKuq96r_IEE,,General / Functional Muscles,,,Compound
Isometric Bicep Hold @90 Degrees,https://youtu.be/FtEfwjOj3po,,"Quadriceps, Glutes",,,Isometric
Isometric Lunge with Calf Raise,https://youtu.be/sCA2Akg7f18,,"Quadriceps, Glutes, Hamstrings",,,Compound
Jack Squats,https://youtu.be/B-1qjxCQC8s,,General / Functional Muscles,,,Compound
Jackknife Sit Ups,,,General / Functional Muscles,,,Compound
Jefferson Squats,https://youtu.be/JhZxwafQX68,,General / Functional Muscles,,,Compound
Jump Lunges,,,General / Functional Muscles,,,Compound
Jump Rope,,,General / Functional Muscles,,,Compound
Jump Rope / High Knees,,,General / Functional Muscles,,,Compound
Jump Squats,https://youtu.be/U4s4mEQ5VqU,"Explode up from a squat position, landing softly.",General / Functional Muscles,,,Compound
Jumping Jacks,,,General / Functional Muscles,,,Compound
Jumping Pull Ups,,,General / Functional Muscles,,,Compound
KB Clean & Trunk Twist,https://youtu.be/nxjFZvAlxOI,,"Full Body (Legs, Core, Shoulders)",,,Compound
Kettlebell Around the World,,,General / Functional Muscles,,,Compound
Kettlebell Clean & Press,,,"Full Body (Legs, Core, Shoulders)",,,Compound
Kettlebell Cleans,,,General / Functional Muscles,,,Compound
Kettlebell Deadlifts,,"Use a kettlebell (or dumbbell) and hinge at the hips to lower and lift the weight, engaging the lower back and glutes.",General / Functional Muscles,,,Compound
Kettlebell Figure of 8,,,General / Functional Muscles,,,Compound
Kettlebell Hip Snaps,,,General / Functional Muscles,,,Compound
kettlebell leg raises on step,,,General / Functional Muscles,,,Compound
Kettlebell Lift,,,General / Functional Muscles,,,Compound
Kettlebell Overhead Marches,,,General / Functional Muscles,,,Compound
Kettlebell Pullovers,,,General / Functional Muscles,,,Compound
Kettlebell Push Press,,,General / Functional Muscles,,,Compound
Kettlebell RDL's,,,"Hamstrings, Glutes, Lower Back",,,Compound
Kettlebell Rows,,Row the kettlebell or dumbbell to your ribcage while bent over.,General / Functional Muscles,,,Compound
Kettlebell single arm Overhead Press,https://youtu.be/89sNmqs1Q8I,,"Shoulders, Triceps",,,Compound
Kettlebell Single Arm Pulls,https://youtu.be/C7xDz_4_-N8,,General / Functional Muscles,,,Compound
Kettlebell Single Arm Swings,,,General / Functional Muscles,,,Compound
Kettlebell Snatch,,,"Full Body (Legs, Core, Shoulders)",,,Compound
Kettlebell Squats,,,General / Functional Muscles,,,Compound
Kettlebell Swings,,"Hinge at the hips and swing the kettlebell up to shoulder height, focusing on explosive hip movement.",General / Functional Muscles,,,Compound
Knee Drive into Single Leg RDL,,"Step up onto a step driving the other knee up, the take it back into a reverse single leg Romanian deadlift","Hamstrings, Glutes, Lower Back",,,Compound
Knee Drives,,,General / Functional Muscles,,,Compound
Knee Lifts,,,General / Functional Muscles,,,Compound
Knee Raises,https://youtu.be/v7_vIGoNIiE,,General / Functional Muscles,,,Compound
Kneeling Cable Pull Downs,,,General / Functional Muscles,,,Compound
Kneeling Foot Stretch,,,General / Functional Muscles,,,Compound
Kneeling Lat Reach Stretch,,,General / Functional Muscles,,,Compound
Kneeling Leg Stretch,https://youtu.be/GIrX9Mw4pjM,,General / Functional Muscles,,,Compound
Kneeling Prayer Stretch,https://youtu.be/bdN7h7qMiAg,,General / Functional Muscles,,,Compound
Kneeling Press Ups,,,General / Functional Muscles,,,Compound
Kneeling Single Arm Band Rows,,,General / Functional Muscles,,,Compound
Kneeling Slams,,,General / Functional Muscles,,,Compound
Landmine Rotation,,,General / Functional Muscles,,,Compound
Lat Pull Down,,Hands just inside the curve,General / Functional Muscles,,,Compound
Lat Stretch with Bar,,,General / Functional Muscles,,,Compound
Lateral Bounds,,,General / Functional Muscles,,,Compound
Lateral Flyes,,,General / Functional Muscles,,,Compound
Lateral Lunges,,"Step out to the side into a lunge, focusing on pushing your hips back.",General / Functional Muscles,,,Compound
Lateral Raises,https://youtu.be/xyK8UiC-BUw,,General / Functional Muscles,,,Compound
Lateral Single Leg Hop's,,"Place band / line on the floor. Hop over it on one foot, going forwards and backwards.",General / Functional Muscles,,,Compound
Lateral Step Down,https://youtu.be/_r_vsI64pyw,,General / Functional Muscles,,,Compound
Laying Alternate Leg Extensions,,,General / Functional Muscles,,,Compound
Laying Flyes,https://youtu.be/UKwkChzThig,,General / Functional Muscles,,,Compound
Laying Gastrocnemis - CRAC,,,General / Functional Muscles,,,Compound
Laying Hamstring - CRAC,,,General / Functional Muscles,,,Compound
Laying Hip Thrusts,,,General / Functional Muscles,,,Compound
Laying Leg Extention,,,General / Functional Muscles,,,Compound
Leaning Back Ab Stretch,,,General / Functional Muscles,,,Compound
Leaning Oblique Stretch,,,General / Functional Muscles,,,Compound
Leg Circles,,,General / Functional Muscles,,,Compound
Leg Curls,https://youtu.be/_lgE0gPvbik,,General / Functional Muscles,,,Compound
Leg Curls with Resistance Band,,,General / Functional Muscles,,,Compound
Leg Extentions,https://youtu.be/w72YiHz15CA,,General / Functional Muscles,,,Compound
Leg Press,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Leg Press Calf Raise,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Leg Raises,https://youtu.be/wt1zvu84oGo,,General / Functional Muscles,,,Compound
Leg Skips,,,General / Functional Muscles,,,Compound
Leg Strength Test,,"The test requires the athlete to hop 25 metres as fast as possible
The athlete warms up for 10 minutes
The assistant, using cones, marks out a 25-metre section
The athlete starts at cone A
The athlete uses a jog run-up to the start line cone (B) and then hops the 25-metre section to the finish line (C) on the right leg as fast as possible.
The assistant starts the stopwatch when the athlete reaches the start line cone (B) and stops the stopwatch when the athlete completes the 25-metre section (cone C)
The assistant records the time
The athlete repeats the test hopping on the left leg
The assistant calculates and records the average of the two recorded times and uses this value to assess the athlete's performance",General / Functional Muscles,,,Compound
Leg Swings,https://youtu.be/c87-z4RpXB8,,General / Functional Muscles,,,Compound
Legs up Crunches,https://youtu.be/TUXFNH7Hr7A,,General / Functional Muscles,,,Compound
Leteral Raises,,,General / Functional Muscles,,,Compound
Light Cardio (Marching / Jump Rope),,,General / Functional Muscles,,,Compound
Light Dumbbell Curls,https://youtu.be/iui51E31sX8,,General / Functional Muscles,,,Compound
Light Dumbbell Flyes,,,General / Functional Muscles,,,Compound
Light Dumbbell Overhead Press,,,"Shoulders, Triceps",,,Compound
Light Dumbbell Tricep Pull Backs,https://youtu.be/DMo3HJoawrU,,General / Functional Muscles,,,Compound
Light Stretching,,,General / Functional Muscles,,,Compound
Loaded Carries,https://youtu.be/nKsGzvcJhdA,,General / Functional Muscles,,,Compound
Long Skips,,,General / Functional Muscles,,,Compound
Low Lunge,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Low Pully Rows,,,General / Functional Muscles,,,Compound
Lunge Jumps,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Lunge Rotations,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Lunge with Rotation,,"In a lunge position next to the wall, place the closest leg to the wall as your front foot. The same arm as the foot stays in contact with the wall, and rotates. Have both hands behind head","Quadriceps, Glutes, Hamstrings",,,Compound
Lunges,,,General / Functional Muscles,,,Compound
Lunges with Rotation,https://youtu.be/Ts_UPlxdabE,,General / Functional Muscles,,,Compound
Lying Gluteals and Piriformis - CRAC,,,General / Functional Muscles,,,Compound
Man Makers,https://youtu.be/rXjJ46zoQrM,,General / Functional Muscles,,,Compound
Margaria Kalamen Power Test,,"The test requires the athlete to sprint up a set of steps. 
The athlete warms up for 10 minutes
The assistant marks a starting line with cones 6 metres in front of the first step
The assistant places a cone on and to one side of the 3rd, 6th and 9th steps 
The assistant measures the vertical distance from the 3rd to the 9th step (metres)
The assistant weighs the athlete (kg)
The athlete starts at the 6-metre line
The assistant gives the command ""GO""
The athlete sprints to the steps and up the flight of steps taking three steps at a time landing on the 3rd, 6th and 9th steps
The assistant starts the stopwatch when the athlete's foot lands on the 3rd step
The assistant stops the stopwatch when the athlete's foot lands on the 9th step and records the time",General / Functional Muscles,,,Compound
Medicine Ball - Squat and Throw,https://youtu.be/HkOQGoOLPK8,I want you to throw forwards rather than up,"Quadriceps, Glutes, Hamstrings",,,Compound
Medicine Ball Pushes,,,General / Functional Muscles,,,Compound
Medicine Ball Slams,,,General / Functional Muscles,,,Compound
Mini Squats,,,General / Functional Muscles,,,Compound
Modified V up,,,Abdominals,,,Isolation
Monster Walk,https://youtu.be/cvfy1kiHY58,,General / Functional Muscles,,,Compound
Monster Walk - Backwards,,,General / Functional Muscles,,,Compound
Monster Walk - Forwards,,,General / Functional Muscles,,,Compound
Mountain Climbers,https://youtu.be/nmwgirgXLYM,,General / Functional Muscles,,,Compound
Neck Rolls,,,General / Functional Muscles,,,Compound
Nordic Hamstring Curl,https://youtu.be/PNMoew_-tg4,,Hamstrings,,,Isolation
One Leg Dumbbell Deadlifts,,,General / Functional Muscles,,,Compound
Open the Gate,https://youtu.be/cQVty1jtYME,,General / Functional Muscles,,,Compound
Orthostatic Heart Rate Test,,"The athlete lies down and rests for at least 15 minutes
The assistant records the athlete's pulse rate (bpm) - R1
The athlete stands up
15 seconds later, the assistant records the athlete's pulse rate (bpm) - R2
The assistant records the difference between R1 and R2",General / Functional Muscles,,,Compound
Over Bench Bicep Curl,,,Biceps,,,Isolation
Overhead Arm Stretch,,,General / Functional Muscles,,,Compound
Overhead Carry Walks,https://youtu.be/ZapT1pafnCI,,"Grip, Core, Shoulders, Legs",,,Isometric
Overhead Dumbbell Press,,,General / Functional Muscles,,,Compound
Overhead Lunges,,,General / Functional Muscles,,,Compound
Overhead March,https://youtu.be/grM7w-XkC5A,,General / Functional Muscles,,,Compound
Overhead Press,https://youtu.be/Xur1K3Z8q0U,,"Shoulders, Triceps",,,Compound
Overhead Squats,,,General / Functional Muscles,,,Compound
Overhead Tricep Extensions,,,General / Functional Muscles,,,Compound
Pallof Press,https://youtu.be/ma2OjgP5XDc,,General / Functional Muscles,,,Compound
Partner Falling Drill A,https://youtu.be/DUGWaU5cPV4,"Face partner, fall forwards into partners hands. Partner pushes back slowly to standing position. Repeat 3 times. On the 4th time, partner moves to one side and fall forwards and jog 10 yards.",General / Functional Muscles,,,Compound
Partner Falling Drill B,,"Face partner, fall forwards into partners hands. Partner pushes back quickly to standing position, so you bounce. Repeat 3 times. On the 4th time, partner moves to one side and fall forwards and jog 10 yards.",General / Functional Muscles,,,Compound
Partner Falling Drill C,,"Face partner, fall forwards into partners hands. Start running in place. After 3 seconds, partner moves to the side and you continue to run.",General / Functional Muscles,,,Compound
Pause Squat,https://youtu.be/GK8_xigKXpY,,"Quadriceps, Glutes, Hamstrings",,,Compound
Paused Deadlifts,,Pause just below knee and then return to floor,General / Functional Muscles,,,Compound
Pec Dec,,,General / Functional Muscles,,,Compound
Pelvic Floor Breathing,,,General / Functional Muscles,,,Compound
Pelvic Floor Elevators,,,General / Functional Muscles,,,Compound
Pelvic Tilts,,,General / Functional Muscles,,,Compound
Pigeon Stretch,https://youtu.be/op-eDU9eNqM,,General / Functional Muscles,,,Compound
Pike Push Ups,,,General / Functional Muscles,,,Compound
Piriformis Stretch,https://youtu.be/mT-3b4rgRzg,,General / Functional Muscles,,,Compound
Pistle Squat - Drive and Jump,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Plank,https://youtu.be/v25dawSzRTM,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
,,,General / Functional Muscles,,,Compound
Plank - Jack to Frogger,https://youtu.be/nC77R011X6U,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Plank Hold,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Plank Pulls,,"In a plank position, pull a cable or band towards you until the elbow is back as far as it will go","Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Plank to Push Up,,,"Chest, Triceps, Shoulders",,,Compound
Plank to Shoulder Tap,https://youtu.be/gccQ1hMX46U,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Plank Walkouts,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Plank with Reach,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Plank with Shoulder Taps,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Plie Squats,,,General / Functional Muscles,,,Compound
Plyo Push Ups,,,General / Functional Muscles,,,Compound
Pooh on the Show - Technique,,,General / Functional Muscles,,,Compound
Postural Assessment,,,General / Functional Muscles,,,Compound
Power Cleans,,,General / Functional Muscles,,,Compound
Preacher Curls,https://youtu.be/wY6w-U8gYlM,,General / Functional Muscles,,,Compound
Press Up Test,,"The athlete warms up for 10 minutes
The athlete lies on the ground, places their hands by the shoulders and straightens the arms - see Figure 1 (start position)
The athlete lowers the body until the elbows reach 90° (see Figure 2) and then extends the arms to return to the start position
The athlete continuous this press-up action, with no rest, until they are unable to continue 
The assistant counts and records the number of correctly completed press-ups
Athletes with less relative strength in the upper body can use the modified press-up position to assess their upper body strength.
The athlete warms up for 10 minutes
The athlete lies on the ground, places their hands by the shoulders, straightens the arms and keeps the knees on the ground- see Figure 3 (start position)
The athlete lowers the body until the elbows reach 90° - see Figure 4 and then extends the arms to return to the start position
The athlete continuous this press-up action, with no rest, until they are unable to continue 
The assistant counts and records the number of correctly completed press-ups","Chest, Triceps, Shoulders",,,Compound
Press Up to Plank Row,,,"Chest, Triceps, Shoulders",,,Compound
Press Up to Renegade Row,,,"Chest, Triceps, Shoulders",,,Compound
Press Ups,https://youtu.be/HHRDXEG1YCU,,General / Functional Muscles,,,Compound
Press Ups - Banded,,,General / Functional Muscles,,,Compound
Press Ups - TRX,https://youtu.be/Ty8D4iFmFOI,,General / Functional Muscles,,,Compound
Prisoner Squats,https://youtu.be/N2Ngttxn0Tk,,General / Functional Muscles,,,Compound
Prone Quadriceps - CRAC,,,General / Functional Muscles,,,Compound
Pull Ups,,,General / Functional Muscles,,,Compound
Pullover / Reverse Crunch,,,Abdominals,,,Isolation
Push Up to Row,,,"Chest, Triceps, Shoulders",,,Compound
Push Up with Reach,,,"Chest, Triceps, Shoulders",,,Compound
Push Ups,https://youtu.be/IODxDxX7oi4,,General / Functional Muscles,,,Compound
Push Ups to Shoulder Taps,,,General / Functional Muscles,,,Compound
Quad Stretch,https://youtu.be/DxBDqHL5NlM,,General / Functional Muscles,,,Compound
Quadruped Opposite Arm/Leg Raise,,"On all fours, extend opposite arm and leg and alternate sides.",Abdominals,,,Isolation
Queens College Step Test,,"To conduct this test, you will require:
A step 16.25 inches or 41.3 cm high
Stopwatch
Metronome or cadence tape
Heart rate monitor (optional)
Assistant
How to conduct the test
This requires the athlete to step up and down on the step for 3 minutes at the following rate: male 24 steps/minute and female 22 steps/minute
The athlete warms up for 10 minutes
The assistant sets up the metronome to the required steps/minute pace (Male 24 and Female 22)
The assistant gives the command “GO”, starts the stopwatch, and the athlete commences the test 
The assistant ensures the athlete maintains the required steps/minute pace
The assistant stops the test after 3 minutes and records the athlete's heart rate for 15 seconds (PR)",General / Functional Muscles,,,Compound
Quick Feet Test,,"This test requires the athlete to run along a 20 rung rope ladder, stepping between each rung and without touching the rungs, as fast as possible.
The athlete warms up for 10 minutes
The assistant places a 20 rung rope ladder on a non-slip surface
The assistant gives the command “GO”, and the athlete commences the test
The assistant starts the stopwatch when the athlete's foot touches the ground between the first and second rung
The assistant stops the stopwatch when foot contact is made with the ground beyond the last rung and records the time
The test is repeated, and the fastest time used to assess the athlete's performance",General / Functional Muscles,,,Compound
Rack Pulls,,"Set the barbell on safety pins in a power rack at knee height or slightly above.
Approach the bar in the same way as a standard deadlift, maintaining a flat back and neutral spine.
Lift the bar by driving through your hips and extending your back, focusing on keeping a strong back position.
Lower the bar back down under control.",General / Functional Muscles,,,Compound
Range of motion test,,,General / Functional Muscles,,,Compound
Rear Shoulder Stretch,,,General / Functional Muscles,,,Compound
Renegade Rows,https://youtu.be/LccyTxiUrhg,"In a plank position, alternate rowing dumbbells to your side while stabilizing your body.",General / Functional Muscles,,,Compound
Resistance Band Chest Press,https://youtu.be/T0UJ0W-_yIE,,"Chest, Triceps, Shoulders",,,Compound
Resistance Band Deadlifts,https://youtu.be/zTSKROuBMNY,,General / Functional Muscles,,,Compound
Resistance Band External Rotations,,,General / Functional Muscles,,,Compound
Resistance Band Glute Kickbacks,,,General / Functional Muscles,,,Compound
Resistance Band Lateral Walks,,,General / Functional Muscles,,,Compound
Resistance Band Leg Lifts,,,General / Functional Muscles,,,Compound
Resistance Band Rows,,,General / Functional Muscles,,,Compound
Resistance Band Squat Walks,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Resistant Band Rows,,,General / Functional Muscles,,,Compound
Resistant Band Squats,https://youtu.be/OivBIb60E_s,,General / Functional Muscles,,,Compound
Reverse Bicep Curl,https://youtu.be/OxXSisby8Kg,,Biceps,,,Isolation
Reverse Clamshells,https://youtu.be/rgxjSqIY5TE,,General / Functional Muscles,,,Compound
Reverse Crunch,,,Abdominals,,,Isolation
Reverse GHD,,,General / Functional Muscles,,,Compound
Reverse Lunge to Bicep Curl,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Reverse Lunge to Knee Drive,https://youtu.be/ZmoRvRrgBj0,,"Quadriceps, Glutes, Hamstrings",,,Compound
Reverse Lunges,https://youtu.be/J9MpoAQCjos,,General / Functional Muscles,,,Compound
Reverse Lunges to Toe Taps,https://youtu.be/B6zsV2y5TBw,,General / Functional Muscles,,,Compound
Reverse Rows,,,General / Functional Muscles,,,Compound
Reverse Wrist Curls,,,General / Functional Muscles,,,Compound
Romanain Deadlift,https://youtu.be/5rIqP63yWFg,,"Hamstrings, Glutes, Lower Back",,,Compound
Rotational Medicine Ball Slams,https://youtu.be/2ubF0fUggSc,,General / Functional Muscles,,,Compound
Rotational Slams,,,General / Functional Muscles,,,Compound
Rower,,,General / Functional Muscles,,,Compound
Rowing Machine,,,General / Functional Muscles,,,Compound
Run,,,General / Functional Muscles,,,Compound
Running on the Spot,,,General / Functional Muscles,,,Compound
Running Posture with Balloon,,,General / Functional Muscles,,,Compound
Running Warm Up,,,General / Functional Muscles,,,Compound
Russian Twists,https://youtu.be/JyUqwkVpsi8,,General / Functional Muscles,,,Compound
Sandbag Cleans,,,General / Functional Muscles,,,Compound
Sandbag Squats,,,General / Functional Muscles,,,Compound
Scapular Pull Ups,https://youtu.be/9M8ylnbriB0,,General / Functional Muscles,,,Compound
Scapular Push Ups,,,General / Functional Muscles,,,Compound
Scapular Squeezes,https://youtu.be/y-UpePzGSuI,,General / Functional Muscles,,,Compound
Scissor Kicks,,,General / Functional Muscles,,,Compound
Scoops,https://youtu.be/MI0VZAwmzi8,,General / Functional Muscles,,,Compound
Seated Ankle Rotations,https://youtu.be/1_gUpdyXiqs,,General / Functional Muscles,,,Compound
Seated Cable Crunch,,,Abdominals,,,Isolation
Seated Cable Flyes,,,General / Functional Muscles,,,Compound
Seated Calf Raise,,,"Calves (Gastrocnemius, Soleus)",,,Isolation
Seated Calf Raise - Deficit,,,"Calves (Gastrocnemius, Soleus)",,,Isolation
Seated Calf Raise with Floor Weights,,,"Calves (Gastrocnemius, Soleus)",,,Isolation
Seated Clamshells,https://youtu.be/xN4fWn2F8wI,,General / Functional Muscles,,,Compound
Seated Figure 4 Stretch,,,General / Functional Muscles,,,Compound
Seated Forward Fold,,,General / Functional Muscles,,,Compound
Seated Glute Sqeeze & Breath,,,General / Functional Muscles,,,Compound
Seated Heel Taps,https://youtu.be/h8xOGwXrS78,"Tap heels forward one at a time, keeping tall posture.

Activates core and improves leg coordination.",General / Functional Muscles,,,Compound
Seated Kettlebell Leg Overs,https://youtu.be/hyeh-NZobXE,,General / Functional Muscles,,,Compound
Seated Knee to Elbow Stretch,,,General / Functional Muscles,,,Compound
Seated Knee Tucks,,,General / Functional Muscles,,,Compound
Seated Leg Curls with Resistance Band,,,General / Functional Muscles,,,Compound
Seated Leg Extentions with Resistance Band,,,General / Functional Muscles,,,Compound
Seated Long Pull,https://youtu.be/g36sd0g_fqY,,General / Functional Muscles,,,Compound
Seated Marches,https://youtu.be/3uYm4pjByP0,,General / Functional Muscles,,,Compound
Seated Pectoralis Major Stretch,,,General / Functional Muscles,,,Compound
Seated Pelvic Floor Pulses,,,General / Functional Muscles,,,Compound
Seated Resistant Band Rows,,"Sit on the floor with legs extended, loop the band around your feet, and row the band towards your torso.",General / Functional Muscles,,,Compound
Seated Toe Taps,https://youtu.be/7gZO0wTCBlw,,General / Functional Muscles,,,Compound
Seated Twists,,,General / Functional Muscles,,,Compound
Serratus Raises,https://youtu.be/16Dz2BXQ1Qo,,General / Functional Muscles,,,Compound
Shoulder Dislocates,,,General / Functional Muscles,,,Compound
Shoulder Rolls,,,General / Functional Muscles,,,Compound
Shoulder Taps,,,General / Functional Muscles,,,Compound
Shrugs,https://youtu.be/JatJyKQhjX4,,General / Functional Muscles,,,Compound
Shuttle Runs,,,General / Functional Muscles,,,Compound
Side Crunch,,,Abdominals,,,Isolation
Side Lateral Raise,,,Deltoids,,,Isolation
Side Leg Raises,,,General / Functional Muscles,,,Compound
Side Lunge with Arm Stretch,,"In a side lunge position lift your hand over your head, creating a line from feet to fingers.","Quadriceps, Glutes, Hamstrings",,,Compound
Side Lunges,https://youtu.be/MvpBUsQrt_4,,General / Functional Muscles,,,Compound
Side Lunges with Pulses,,In a side lunge position move outstretched leg into a bent position (knee towards toes),General / Functional Muscles,,,Compound
Side Plank,https://youtu.be/9dNL_mtObGQ,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Side Plank Abductions,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Side Plank Clamshell,https://youtu.be/HzT_UFbJolQ,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Side Plank Reach Throughs,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Side Plank with Hip Dip,https://youtu.be/yIwbYhnYwQ4,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Side Stretches,,,General / Functional Muscles,,,Compound
Side-Laying Leg Raises,https://youtu.be/wokxpanVO8A,,General / Functional Muscles,,,Compound
Side-Lying External Rotations,,,General / Functional Muscles,,,Compound
Side-Lying Open Book Stretch,,,General / Functional Muscles,,,Compound
Sideways Monster Steps,,,General / Functional Muscles,,,Compound
Single Arm Cable Press,https://youtu.be/AK-mO8p4F0k,,General / Functional Muscles,,,Compound
Single Arm Dumbbell Floor Press,https://youtu.be/YgAJxNnwXow,,General / Functional Muscles,,,Compound
Single Arm Dumbbell Press,,,General / Functional Muscles,,,Compound
Single Arm Row,,,"Lats, Rhomboids, Biceps",,,Compound
Single Leg Balance with Reach,,,General / Functional Muscles,,,Compound
Single Leg Bosu Ballance,,,General / Functional Muscles,,,Compound
Single Leg Box Jumps,,,General / Functional Muscles,,,Compound
Single Leg Bridge,,,General / Functional Muscles,,,Compound
Single Leg Calf Raise,https://youtu.be/gUEffJQ2IdU,,"Calves (Gastrocnemius, Soleus)",,,Isolation
Single Leg Calf Raise - Deficit,,,"Calves (Gastrocnemius, Soleus)",,,Isolation
Single Leg Deadlifts,,,General / Functional Muscles,,,Compound
Single Leg Extension,,,Quadriceps,,,Isolation
Single Leg Glute Bridge - with leg in the air,https://youtu.be/AVAXhy6pl7o,,"Glutes, Hamstrings",,,Compound
Single Leg Glute Bridge Rollout,,"Have one foot on a Swiss ball, in a glute bridge position. The other leg at 90 degrees. Roll the ball in and out.","Glutes, Hamstrings",,,Compound
Single Leg Hamstring Curl,,,Hamstrings,,,Isolation
Single Leg Leg Press,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Single Leg Over Bench Pull,,,General / Functional Muscles,,,Compound
Single Leg Plank,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Single Leg Press,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Single Leg RDL,,,"Hamstrings, Glutes, Lower Back",,,Compound
Single Leg RDL into Hop,,,"Hamstrings, Glutes, Lower Back",,,Compound
Single Leg Squats,,,General / Functional Muscles,,,Compound
Single Leg Stand,,,General / Functional Muscles,,,Compound
Single Leg Swiss Ball Mountain Climbers,,"Have one leg on a Swiss ball, and do mountain climbers, making sure the other leg is in the air",General / Functional Muscles,,,Compound
Sit > Stand > Step,,,General / Functional Muscles,,,Compound
Sit > Stand > Step > FW,,,General / Functional Muscles,,,Compound
Sit > Stand > Step > RDL,,,"Hamstrings, Glutes, Lower Back",,,Compound
